Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
ATI,,,,,,,,,,,,93.41,1.0,84.5,70.94,
ATII,,,,,,,,,,,,10.21,0.92,10.18,10.08,
ATIIU,,,,,,,,,,,,,,,,
ATKR,,,,,,,,,,,,,,,,
ATLC,,,,,,,,,,,,51.87,0.71,53.19,51.55,
ATLN,,,,,,,,,,,,1.8,0.03,2.27,3.22,
ATLO,,,,,,,,,,,,,,,,
ATLX,,,,,,,,,,,,,,,,
ATMC,,,,,,,,,,,,,,,,
ATMCU,,,,,,,,,,,,,,,,
ATMU,,,,,,,,,,,,37.68,0.74,36.8,36.77,
ATMV,,,,,,,,,,,,11.9,1.0,11.8,11.63,
ATMVU,,,,,,,,,,,,,,,,
ATNF,,,,,,,,,,,,1.88,0.05,1.14,1.29,
ATNI,,,,,,,,,,,,17.59,0.17,16.66,17.42,
ATNM,,,,,,,,,,,,1.71,0.07,1.55,1.67,
ATO,,,,,,,,,,,,156.66,0.93,154.21,149.94,
ATOM,,,,,,,,,,,,,,,,
ATOS,,,,,,,,,,,,,,,,
ATPC,,,,,,,,,,,,,,,,
ATR,,,,,,,,,,,,156.38,0.68,155.57,153.13,
ATRA,,,,,,,,,,,,,,,,
ATRC,,,,,,,,,,,,,,,,
ATRO,,,,,,,,,,,,34.56,0.93,32.92,27.29,
ATS,,,,,,,,,,,,,,,,
ATUS,,,,,,,,,,,,2.79,0.59,2.4,2.42,
ATXG,,,,,,,,,,,,,,,,
ATXS,,,,,,,,,,,,,,,,
ATYR,,,,,,,,,,,,,,,,
AU,,,,,,,,,,,,47.66,0.91,45.98,39.59,
AUB,,,,,,,,,,,,33.22,0.53,31.71,31.84,
AUBN,,,,,,,,,,,,,,,,
AUDC,,,,,,,,,,,,,,,,
AUGO,,,,,,,,,,,,,,,,
AUID,,,,,,,,,,,,,,,,
AUNA,,,,,,,,,,,,6.35,0.03,6.43,6.89,
AUPH,,,,,,,,,,,,8.63,0.51,8.29,8.06,
AUR,,,,,,,,,,,,,,,,
AURA,,,,,,,,,,,,,,,,
AUST,,,,,,,,,,,,,,,,
AUTL,,,,,,,,,,,,,,,,
AUUD,,,,,,,,,,,,,,,,
AVA,,,,,,,,,,,,,,,,
AVAH,,,,,,,,,,,,3.96,0.58,4.61,4.78,
AVAL,,,,,,,,,,,,,,,,
AVAV,,,,,,,,,,,,274.03,0.98,231.83,190.87,
AVB,,,,,,,,,,,,,,,,
AVBP,,,,,,,,,,,,22.05,0.35,22.01,22.41,
AVD,,,,,,,,,,,,,,,,
AVDL,,,,,,,,,,,,10.83,0.34,9.56,9.53,
AVDX,,,,,,,,,,,,9.85,0.45,9.69,9.42,
AVGO,,,,,,,,,,,,283.34,1.0,259.42,225.05,
AVIR,,,,,,,,,,,,,,,,
AVNS,,,,,,,,,,,,11.22,0.0,12.09,13.88,
AVNT,,,,,,,,,,,,,,,,
AVNW,,,,,,,,,,,,,,,,
AVO,,,,,,,,,,,,,,,,
AVPT,,,,,,,,,,,,18.78,0.94,18.4,17.1,
AVR,,,,,,,,,,,,,,,,
AVT,,,,,,,,,,,,,,,,
AVTR,,,,,,,,,,,,,,,,
AVTX,,,,,,,,,,,,,,,,
AVXL,,,,,,,,,,,,10.98,0.85,9.84,8.95,
AVY,,,,,,,,,,,,,,,,
AWI,,,,,,,,,,,,,,,,
AWK,,,,,,,,,,,,142.91,0.87,141.61,139.34,
AWR,,,,,,,,,,,,,,,,
