Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
5284,jpp-KY,-8.61,-21.64,-21.56,-28.32,3.48,-16.63,64,17,8,77,14,149.0,0.61,125.8,132.87,2.87
2884,玉山金,-8.61,-6.83,-4.44,-5.21,-5.92,-6.34,64,65,68,59,48,28.2,0.82,28.05,27.77,0.49
3054,立萬利,-8.68,-7.79,-7.38,-19.1,-10.8,-3.31,64,59,32,45,58,22.25,0.73,22.21,21.04,0.1
4904,遠傳,-8.69,-8.37,0.95,-11.98,-7.24,-0.92,64,74,54,56,65,88.7,0.82,90.41,86.23,0.31
6637,醫影,-8.71,-10.27,-11.38,7.67,12.0,36.8,64,47,82,84,95,102.0,0.66,96.5,101.78,0.45
5347,世界,-8.73,-9.38,4.24,16.76,-8.31,-16.3,64,78,87,53,15,99.0,0.53,107.54,106.96,0.5
6261,久元,-8.74,-16.4,-9.03,-6.01,0.65,-4.91,64,54,66,72,54,73.2,0.63,70.27,73.48,2.39
1612,宏泰,-8.74,-9.44,-4.73,0.68,38.35,5.71,64,64,76,94,78,34.2,0.74,34.35,36.43,0.29
1530,亞崴,-8.74,-12.84,-7.16,-17.85,-9.73,-7.46,64,59,36,48,44,34.35,0.71,33.37,32.43,0.37
4999,鑫禾,-8.77,-13.46,-14.94,-20.4,-16.71,-12.35,63,35,27,26,26,36.95,0.68,34.41,34.39,3.41
6655,科定,-8.77,-10.2,3.61,-13.51,-11.77,-13.63,63,78,49,42,21,133.0,0.56,140.05,130.5,0.07
2453,凌群,-8.83,-17.8,-17.91,-6.66,-13.95,-6.46,63,25,65,35,48,61.7,0.74,55.03,59.28,4.02
4806,桂田文創,-8.86,-10.61,1.62,16.78,19.63,59.34,63,75,87,88,97,14.0,0.74,14.02,13.25,0.42
3557,嘉威,-8.87,-8.03,-1.06,-1.42,-2.49,-6.97,63,71,73,66,46,72.1,0.82,72.7,73.63,0.29
2809,京城銀,-8.88,-7.2,-3.08,6.81,21.54,5.3,63,67,81,89,78,53.4,0.61,54.0,57.43,0.37
2540,愛山林,-8.89,-1.71,27.35,69.65,40.72,14.97,63,92,97,94,88,91.4,0.54,113.22,111.95,0.52
8210,勤誠,-8.92,-8.96,-7.35,-7.31,13.88,72.49,63,59,64,86,98,292.5,0.93,280.7,287.28,0.43
6606,建德工業,-8.96,-9.18,3.21,-14.41,-7.24,-18.02,63,78,47,56,12,27.75,0.37,29.64,27.78,0.05
9907,統一實,-8.97,-8.34,-8.03,-21.67,-23.52,-20.37,63,57,22,12,8,16.55,0.37,16.5,15.54,0.3
1531,高林股,-8.98,-10.49,-9.36,-9.51,-14.16,-13.17,63,53,59,34,23,14.8,0.78,14.35,14.34,0.57
6526,達發,-9.02,-12.35,-12.18,-12.18,10.85,1.78,63,44,53,83,71,656.0,0.61,620.2,661.53,0.7
00678,群益那斯達克生技,-9.03,-7.34,-1.01,-5.47,-11.22,-0.29,63,71,67,44,66,29.83,0.76,30.35,29.42,0.53
3010,華立,-9.03,-9.4,-0.74,14.34,14.41,0.44,63,71,86,86,69,124.5,0.64,127.0,130.65,0.38
2419,仲琦,-9.04,-11.14,-14.08,-10.35,-20.88,-4.76,63,38,57,17,54,33.8,0.38,31.71,31.29,0.43
4440,宜新實業,-9.07,-9.34,-10.89,-17.98,-23.81,-21.09,63,48,36,11,8,27.25,0.31,26.39,25.94,0.55
2718,晶悅,-9.08,-6.84,8.22,41.05,62.97,6.55,63,82,95,97,79,89.7,0.54,103.82,106.92,0.61
1817,凱撒衛,-9.09,-9.08,-3.34,-12.54,-11.65,-9.33,63,66,52,42,36,40.9,0.78,41.45,40.0,0.33
2009,第一銅,-9.1,-8.35,1.83,5.42,43.14,-10.43,63,75,80,95,32,42.0,0.56,42.93,46.39,0.12
5211,蒙恬,-9.11,-12.17,-13.56,-4.05,-8.33,-10.18,63,40,69,53,33,27.1,0.64,25.72,27.17,1.6
6167,久正,-9.17,-15.22,-16.75,-24.57,-17.17,-10.86,62,29,14,25,30,16.7,0.71,14.97,15.24,1.98
00713,元大台灣高息低波,-9.21,-9.3,-5.89,-8.5,0.64,2.34,62,62,61,72,72,57.4,0.92,57.45,57.25,0.27
5514,三豐,-9.22,-10.74,-1.87,-10.92,0.79,-5.35,62,69,56,72,52,21.55,0.71,22.06,21.49,0.24
1717,長興,-9.24,-10.19,-3.41,-15.58,-10.37,-15.3,62,66,43,46,17,32.4,0.64,32.06,31.35,0.34
1514,亞力,-9.28,-7.76,10.47,43.65,109.87,39.51,62,84,95,99,96,113.5,0.64,122.03,130.44,0.19
6509,聚和,-9.29,-12.55,-13.32,-11.91,-17.74,-15.45,62,40,54,23,17,41.75,0.58,39.63,40.19,0.8
5312,寶島科,-9.29,-9.8,-5.72,-11.56,5.13,2.64,62,62,55,79,73,101.0,0.86,99.94,101.61,0.58
4735,豪展,-9.29,-6.78,2.96,-8.22,-15.49,0.4,62,77,62,30,68,40.95,0.57,43.43,39.61,0.16
0051,元大中型100,-9.31,-10.2,-7.23,-8.87,-2.93,2.97,62,59,60,65,73,82.05,0.88,80.8,80.98,0.57
8489,三貝德,-9.33,-10.28,-3.86,-12.08,-13.75,4.69,62,65,53,35,76,28.85,0.72,28.84,27.22,0.13
4506,崇友,-9.33,-10.2,-5.09,-1.28,12.76,-1.95,62,63,73,84,63,100.5,0.62,100.3,105.49,0.48
3702A,大聯大甲特,-9.34,-9.65,-6.49,-15.44,-9.52,-8.19,62,60,43,49,40,50.9,1.0,50.0,48.94,0.21
00652,富邦印度,-9.38,-9.27,-1.35,-5.6,-4.58,5.06,62,70,67,62,77,39.26,0.83,40.19,38.95,0.42
6138,茂達,-9.39,-14.33,-11.72,-18.51,-5.56,25.78,62,46,34,60,93,213.5,0.82,192.55,195.93,0.9
1805,寶徠,-9.4,-8.93,-5.22,3.15,21.91,0.1,62,63,78,89,67,19.1,0.62,20.19,20.38,0.19
6230,尼得科超眾,-9.41,-10.16,-2.94,20.21,43.74,-18.26,62,68,89,95,12,220.5,0.47,224.75,266.65,0.18
3219,倚強科,-9.44,-8.25,-1.6,-2.92,-25.39,-20.29,62,70,70,9,9,50.0,0.38,52.44,49.86,0.16
5328,華容,-9.45,-13.71,-11.37,-7.98,-17.7,9.33,62,47,63,24,83,16.25,0.76,15.56,15.36,0.78
9939,宏全,-9.48,-8.64,0.72,6.74,22.02,13.43,62,74,81,89,86,154.5,0.78,159.19,161.75,0.79
1519,華城,-9.52,-3.66,3.67,61.15,152.2,72.96,62,78,97,99,98,586.0,0.66,618.7,712.34,0.32
8423,保綠-KY,-9.54,-9.16,-2.94,-9.1,-7.13,3.9,61,68,59,56,75,22.45,0.67,22.83,22.02,0.09
