Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
MOGO,75.46,75.46,77.16,79.93,117.49,138.43,9,8,78,86,1.6,0.51,1.12,1.52,10.93
INTS,75.39,77.05,85.99,111.8,119.5,201.14,9,73,79,95,3.2,0.14,3.64,4.28,0.48
SHMD,75.39,77.68,86.56,99.23,95.03,92.81,9,41,24,10,2.48,0.0,3.34,3.88,1.55
JILL,75.36,76.69,86.8,125.57,125.5,99.3,9,87,83,31,25.94,0.16,25.0,29.31,0.32
CRSR,75.35,75.35,71.56,74.66,85.84,101.29,9,5,8,37,7.05,0.15,6.59,9.72,2.25
FREY,75.35,75.35,69.2,102.87,122.59,108.25,9,51,81,57,2.32,0.8,1.12,1.55,1.52
CLAR,75.32,75.32,72.85,91.06,111.59,111.93,9,18,71,65,4.44,0.13,4.39,5.68,0.66
HOVR,75.26,78.96,90.26,91.16,85.8,75.48,9,18,8,3,0.45,0.02,0.47,1.19,35.37
GCTS,75.23,75.38,90.73,288.39,2345.02,1063.3,9,98,99,99,2.73,0.01,2.69,5.95,1.0
STM,75.22,75.22,73.92,85.32,91.18,102.2,9,11,14,40,26.86,0.04,28.09,37.52,0.96
AIMD,75.2,75.41,73.7,76.77,115.91,95.67,9,6,76,22,0.5,0.02,0.51,0.83,0.59
TIXT,75.16,75.16,68.9,67.61,95.92,126.07,9,3,27,81,4.44,0.19,3.74,6.24,2.45
EC,75.12,76.95,80.4,90.83,98.95,94.65,9,17,38,18,7.5,0.03,8.57,10.67,1.04
SCYX,75.11,76.4,82.69,123.78,129.19,103.43,9,86,85,44,1.29,0.01,1.45,1.75,3.32
FARM,75.04,75.17,80.27,85.99,102.41,126.61,9,12,49,81,2.07,0.15,2.08,2.84,1.26
INTG,75.04,75.35,79.41,95.13,100.6,100.7,9,25,43,35,14.24,0.04,15.65,19.82,0.35
MPLN,75.03,75.03,73.73,70.58,66.11,90.99,9,4,2,8,8.5,0.02,9.33,21.26,0.74
ML,75.01,75.01,67.38,107.47,163.41,148.95,9,63,93,90,81.58,0.73,45.0,61.24,2.1
STSS,75.01,79.81,100.03,171.18,152.35,90.5,9,96,91,8,2.71,0.03,3.87,5.84,0.31
ZENV,75.0,75.99,78.23,132.5,180.51,193.72,9,90,94,95,1.22,0.09,1.44,2.02,4.98
LYRA,74.86,74.86,73.36,67.5,91.44,148.67,9,3,14,89,0.26,0.01,0.26,2.01,0.83
YI,74.82,76.22,78.78,92.21,92.24,74.2,9,20,15,3,0.67,0.06,0.76,1.07,0.4
BLRX,74.8,78.03,95.38,99.85,85.22,93.18,9,43,8,11,0.44,0.03,0.52,0.76,1.17
LCUT,74.78,74.78,77.8,89.31,128.27,137.75,9,16,85,86,5.91,0.1,6.29,8.45,1.54
CRML,74.77,75.98,83.98,133.22,213.61,197.84,9,91,96,95,6.99,0.05,6.9,9.53,0.99
QUIK,74.75,74.75,73.4,78.8,111.95,125.75,9,7,72,80,8.14,0.09,7.85,11.26,1.48
DNMR,74.71,74.93,74.53,67.68,114.43,115.66,9,3,75,71,0.25,0.0,0.38,0.68,2.99
TDUP,74.7,74.7,73.95,89.58,99.75,98.02,9,16,40,28,0.94,0.21,0.8,1.51,0.48
SLP,74.64,74.64,75.74,92.6,111.57,108.43,9,20,71,57,32.15,0.21,31.51,40.25,0.92
NRBO,74.62,75.63,81.84,107.6,118.6,140.56,9,64,79,87,2.67,0.05,3.02,3.93,0.58
BENF,74.62,75.9,101.61,215.55,263.34,63.76,9,97,97,2,1.23,0.0,1.35,5.34,0.04
DLPN,74.56,74.72,75.08,73.05,82.87,97.94,8,5,6,27,1.27,0.05,1.32,1.98,1.72
BETR,74.54,75.53,88.49,102.73,101.92,121.01,8,51,47,77,14.69,0.02,16.2,21.08,1.37
SOPA,74.5,74.5,76.15,74.47,70.03,79.52,8,5,3,3,0.93,0.04,0.96,1.67,0.16
NVNO,74.5,75.83,87.27,104.46,118.18,122.54,8,55,78,78,3.64,0.17,3.95,4.92,1.08
PBF,74.49,74.49,74.73,76.74,109.89,115.25,8,6,68,70,30.82,0.08,31.76,43.54,0.88
XPRO,74.44,76.01,86.45,108.5,111.3,109.43,8,66,71,60,14.13,0.12,16.35,19.32,0.68
PHIO,74.44,74.44,68.78,72.59,114.12,112.03,8,5,75,65,2.61,0.01,3.07,5.2,1.71
IRWD,74.4,74.4,74.07,76.9,74.91,127.21,8,6,4,81,4.78,0.07,4.32,7.16,0.8
PIII,74.4,76.53,82.33,91.05,86.84,91.87,8,18,9,9,0.4,0.06,0.41,0.64,4.44
DRCT,74.32,74.32,73.19,85.77,115.99,279.11,8,12,76,97,2.62,0.02,2.55,7.44,0.64
AGRI,74.31,74.87,74.37,67.45,57.32,42.99,8,3,2,1,0.05,0.0,0.05,0.11,0.89
ZGN,74.31,75.79,79.93,86.55,104.12,107.32,8,12,54,54,7.29,0.02,8.69,11.39,1.39
COEP,74.21,74.21,71.38,71.5,75.9,63.57,8,4,4,2,0.2,0.03,0.19,0.3,0.18
BWMN,74.18,74.18,78.76,93.08,98.59,104.96,8,21,37,48,25.42,0.25,22.67,29.79,1.03
VRNT,74.1,75.26,85.6,105.46,106.65,121.73,8,58,60,78,25.0,0.23,24.25,30.0,0.81
IRD,74.04,74.93,82.46,90.15,89.96,92.06,8,17,12,9,1.17,0.04,1.26,1.73,1.02
CGC,73.95,75.45,81.17,136.26,308.29,183.4,8,91,98,94,4.04,0.1,4.64,6.23,1.61
REBN,73.95,77.82,103.46,395.22,452.53,143.3,8,98,98,88,1.48,0.07,2.63,3.11,0.95
OCGN,73.94,73.94,82.37,134.88,280.11,272.81,8,91,97,97,1.07,0.44,1.03,1.28,1.3
MYPS,73.85,73.85,74.16,84.13,99.51,96.35,8,10,39,23,1.65,0.2,1.49,2.02,1.89
ALNT,73.84,73.84,76.73,83.13,104.81,105.12,8,10,56,48,23.39,0.33,19.09,25.72,0.86
PALT,73.81,77.79,98.5,121.72,134.88,199.31,8,85,87,95,1.99,0.08,2.59,3.64,0.61
CERT,73.8,73.8,78.34,85.37,102.96,115.34,8,11,51,70,10.89,0.08,10.99,14.82,0.75
LOT,73.77,73.77,75.46,98.81,104.32,95.12,8,40,55,20,4.58,0.03,4.74,6.79,1.76
DTI,73.74,73.74,81.05,121.64,167.04,128.25,8,85,93,82,3.48,0.22,3.63,4.31,1.87
SVC,73.66,75.39,86.23,86.35,79.89,105.58,8,12,5,50,3.11,0.03,4.2,5.52,1.0
AIFF,73.64,76.7,78.12,104.08,176.39,189.24,8,54,94,94,3.26,0.05,3.45,6.11,0.32
AIFU,73.42,73.42,71.05,58.12,65.94,90.75,8,2,2,8,1.23,0.03,1.38,2.83,0.17
MLGO,73.37,84.29,201.22,10616.49,8439.76,282.32,8,99,99,97,0.21,0.0,0.27,3.17,0.25
VAL,73.23,73.46,80.43,100.24,104.11,98.86,8,44,54,30,51.19,0.09,53.23,65.94,0.72
PMN,73.22,73.22,78.68,91.57,131.0,168.9,8,19,86,93,0.99,0.02,1.14,1.66,0.52
LXEO,73.17,74.38,75.81,102.76,106.01,139.5,8,51,59,87,7.95,0.01,9.31,13.08,0.7
MEG,73.16,74.17,73.82,92.69,136.48,131.65,8,21,88,84,21.76,0.05,26.23,35.79,0.92
AQB,73.09,73.09,72.03,82.5,88.29,134.46,8,9,10,85,1.02,0.05,1.14,1.68,1.79
UK,73.05,73.05,73.87,85.43,88.37,112.85,8,11,11,67,1.24,0.01,1.34,1.9,0.15
IART,72.98,72.98,68.0,84.44,84.5,104.84,8,11,7,47,25.45,0.3,19.18,28.15,0.63
GWH,72.97,72.97,70.4,97.98,101.92,89.2,8,38,47,7,9.85,0.31,7.02,10.35,2.73
WBA,72.96,72.96,71.59,66.78,80.4,105.88,8,3,5,51,9.39,0.06,9.18,14.69,0.91
