Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
5225,東科-KY,111.35,115.08,120.78,120.68,145.28,145.09,86,86,94,96,122.5,0.63,136.29,113.84,0.23
8455,大拓-KY,111.34,115.03,122.32,149.31,139.04,89.28,86,95,93,6,29.6,0.38,34.49,28.68,0.03
9949,琉園,111.3,112.02,111.87,109.02,116.12,112.36,86,76,82,81,23.6,0.7,25.09,22.1,0.47
2362,藍天,111.27,112.56,112.76,121.83,118.22,115.56,86,87,84,85,58.5,0.77,58.26,50.62,0.29
3021,鴻名,111.18,111.18,108.05,105.45,100.47,95.59,86,70,59,31,37.45,0.93,27.3,24.34,2.37
4763,材料-KY,111.17,111.17,109.9,106.3,89.19,92.21,86,72,21,13,844.0,0.7,838.79,768.26,1.0
1785,光洋科,111.12,113.57,122.72,126.83,114.91,102.33,85,90,81,62,63.9,0.7,64.32,53.44,0.32
4931,新盛力,111.09,111.09,109.18,104.01,92.27,95.48,85,68,33,31,36.3,0.93,34.45,31.52,1.63
1560,中砂,111.04,111.84,114.83,118.14,119.54,120.86,85,85,85,88,333.0,0.8,330.16,279.13,1.42
2882,國泰金,111.03,111.4,111.79,110.76,107.8,94.69,85,78,73,26,69.3,0.98,65.18,55.34,0.91
1784,訊聯,110.96,119.28,145.1,164.03,148.97,95.33,85,96,95,30,93.5,0.43,100.76,79.86,0.29
6690,安碁資訊,110.87,116.1,122.49,121.56,97.67,103.75,85,87,51,66,221.0,0.58,223.93,197.64,0.4
2359,所羅門,110.82,114.67,127.24,215.54,276.86,148.67,85,98,99,96,141.5,0.74,152.22,114.84,0.17
4935,茂林-KY,110.81,110.81,108.32,102.32,107.34,97.4,85,64,72,41,75.2,0.97,68.12,59.96,1.15
3607,谷崧,110.75,111.09,114.03,114.0,100.17,112.86,85,81,59,82,22.8,0.9,21.31,18.91,1.64
5603,陸海,110.73,110.73,108.53,105.47,97.2,101.75,85,71,50,60,34.0,1.0,28.1,24.86,5.35
3645,達邁,110.61,111.14,113.01,112.53,93.39,99.65,85,79,37,52,46.1,0.38,50.11,44.68,0.3
3617,碩天,110.6,110.6,109.6,108.52,114.57,99.54,85,75,81,51,312.5,0.83,304.44,258.55,0.38
5487,通泰,110.54,111.07,114.05,113.96,100.31,106.91,85,81,59,73,38.95,0.82,38.03,33.17,0.31
8074,鉅橡,110.5,110.5,107.99,100.44,99.05,98.6,85,59,55,46,27.4,0.91,24.08,22.05,8.46
4735,豪展,110.46,113.16,114.74,113.04,89.83,99.52,85,80,24,51,40.85,0.47,43.0,39.07,0.35
8440,綠電,110.43,116.5,135.82,139.29,115.83,100.09,85,93,82,53,44.0,0.48,47.65,40.47,0.21
6143,振曜,110.32,110.56,110.18,113.45,118.76,102.09,85,81,84,61,122.5,0.56,137.25,115.94,0.84
9902,台火,110.31,114.17,119.13,118.47,112.05,105.33,85,85,78,70,17.3,0.43,19.22,16.75,0.1
8272,全景軟體,110.22,110.22,108.36,105.42,102.79,90.37,85,70,64,7,128.5,0.68,100.29,90.67,4.27
1441,大東,110.19,111.38,115.8,115.22,93.56,97.69,85,82,37,42,15.6,0.5,16.26,14.55,0.19
3518,柏騰,110.13,112.09,112.09,111.94,85.35,103.83,85,79,8,66,30.3,0.26,33.77,32.29,0.15
6492,生華科,110.04,114.06,115.47,113.03,92.4,88.23,84,80,33,4,52.6,0.55,50.49,46.83,9.29
1442,名軒,110.04,111.99,112.95,122.85,127.19,102.35,84,88,89,62,65.7,0.73,65.37,54.73,0.32
4987,科誠,109.96,110.13,110.08,106.87,91.47,94.11,84,73,30,23,71.7,0.65,71.38,64.26,0.22
3312,弘憶股,109.96,117.06,140.08,177.72,177.19,157.74,84,97,98,97,68.4,0.56,76.51,58.61,0.3
9938,百和,109.82,109.82,108.1,98.18,99.05,92.36,84,52,55,13,81.4,1.0,68.62,62.55,0.47
1231,聯華食,109.68,110.31,110.6,110.75,100.13,94.32,84,78,59,24,111.5,0.88,108.86,94.78,0.55
5236,凌陽創新,109.64,109.64,108.45,100.79,94.89,126.19,84,60,42,91,175.5,0.61,174.29,164.18,0.44
8011,台通,109.56,111.97,113.1,113.02,106.59,122.88,84,80,71,90,27.0,0.61,27.14,25.21,0.52
6194,育富,109.55,109.55,108.75,105.65,91.76,107.28,84,71,31,74,40.65,0.51,42.28,38.16,0.12
8927,北基,109.52,110.39,110.53,105.14,99.2,94.53,84,70,56,25,64.4,0.86,60.64,54.16,0.23
3413,京鼎,109.42,109.81,113.79,113.47,121.84,119.27,84,81,86,88,346.5,0.76,351.14,301.14,0.64
8438,昶昕,109.32,110.63,114.05,123.08,128.92,98.79,84,88,90,47,38.75,0.48,42.48,35.68,0.33
