Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
6175,立敦,Basic Materials,Aluminum,92.47,93.81,96.03,102.35,101.18,98.04,29,65,61,41,35.9,0.21,37.68,38.02,0.48
4123,晟德,Healthcare,Drug Manufacturers—Specialty & Generic,92.47,92.8,96.3,101.77,100.9,93.93,29,64,60,16,50.1,0.5,46.3,46.91,3.6
2535,達欣工,Industrials,Engineering & Construction,92.47,93.84,95.54,95.93,108.05,107.48,29,44,73,74,49.55,0.49,51.92,52.76,1.76
4162,智擎,Healthcare,Biotechnology,92.46,92.46,91.85,90.15,85.57,88.91,29,18,9,4,97.4,0.45,86.87,94.42,3.85
1517,利奇,Industrials,Metal Fabrication,92.45,93.84,94.71,94.75,93.81,98.77,29,39,38,44,15.2,0.24,15.69,16.16,0.35
3051,力特,Technology,Electronic Components,92.45,92.45,90.58,85.8,96.09,101.92,29,7,45,59,32.35,0.33,29.89,33.37,1.27
8083,瑞穎,Consumer Cyclical,Auto Parts,92.44,92.49,92.31,91.74,103.17,99.2,29,24,65,47,158.5,0.31,162.4,166.58,0.38
6741,91APP*-KY,Technology,Software—Infrastructure,92.42,92.42,91.27,90.97,88.9,100.78,29,21,19,55,97.2,0.53,86.5,92.4,8.44
2020,美亞,Basic Materials,Steel,92.4,92.51,92.34,89.47,106.16,105.22,29,16,70,69,27.9,0.4,28.44,29.88,0.6
2753,八方雲集,Consumer Cyclical,Restaurants,92.39,92.39,91.68,88.91,88.25,94.45,29,14,16,20,158.5,0.35,153.03,162.48,0.81
4148,全宇生技-KY,Basic Materials,Agricultural Inputs,92.39,92.39,91.69,89.22,99.78,108.9,29,15,57,76,45.95,0.44,45.8,48.78,1.11
4976,佳凌,Technology,Electronic Components,92.38,94.42,101.24,105.55,105.43,99.62,29,71,69,49,40.6,0.19,44.04,43.61,0.48
912000,晨訊科-DR,Technology,Communication Equipment,92.32,94.96,105.79,127.51,128.0,97.93,29,90,89,40,3.04,0.35,3.12,2.97,0.93
4744,皇將,Industrials,Specialty Industrial Machinery,92.3,92.91,92.93,92.56,84.28,86.39,29,28,6,2,21.1,0.08,22.89,24.46,1.0
8072,陞泰,Industrials,Security & Protection Services,92.3,92.43,94.14,97.27,95.17,94.31,29,49,42,19,28.05,0.36,26.89,27.75,0.93
3321,同泰,Technology,Electronic Components,92.29,95.26,102.48,113.39,111.77,109.35,29,81,78,77,18.25,0.43,18.84,18.62,0.83
2536,宏普,Real Estate,Real Estate—Development,92.26,94.11,94.5,97.01,103.69,99.61,28,48,66,49,29.1,0.16,32.1,32.68,1.17
5864,致和證,Financial Services,Capital Markets,92.26,93.3,94.15,104.94,112.91,99.69,28,70,79,50,17.15,0.43,18.6,18.41,1.63
2206,三陽工業,Consumer Cyclical,Auto Manufacturers,92.26,93.29,93.74,93.5,95.94,95.43,28,32,45,26,69.5,0.14,73.38,75.57,1.3
00642U,期元大S&P石油,,,92.24,92.64,92.7,92.55,96.76,96.36,28,28,48,31,16.54,0.35,16.7,17.33,0.49
2707,晶華,Consumer Cyclical,Lodging,92.23,92.23,91.71,87.88,95.74,102.13,28,11,44,60,201.0,0.09,202.74,215.12,0.4
1614,三洋電,Consumer Cyclical,"Furnishings, Fixtures & Appliances",92.21,92.21,91.87,97.95,100.58,95.72,28,52,59,27,40.05,0.2,40.37,41.07,0.24
