Symbol,Name,Market Cap,Sector,Industry
TRV,"The Travelers Companies, Inc.",$45.56 B,Financials,Insurance—Property & Casualty
STZ,"Constellation Brands, Inc.",$45.21 B,Consumer Staples,Beverages—Wineries & Distilleries
TEL,TE Connectivity Ltd.,$44.78 B,Technology,Electronic Components
AZO,"AutoZone, Inc.",$44.39 B,Consumer Discretionary,Specialty Retail
IQV,IQVIA Holdings Inc.,$44.32 B,Healthcare,Diagnostics & Research
CTAS,Cintas Corporation,$44.32 B,Industrials,Specialty Business Services
CDNS,"Cadence Design Systems, Inc.",$44.23 B,Technology,Software—Application
CMG,"Chipotle Mexican Grill, Inc.",$44.11 B,Consumer Discretionary,Restaurants
HPQ,HP Inc.,$43.90 B,Technology,Computer Hardware
SPG,"Simon Property Group, Inc.",$43.69 B,Real Estate,REIT—Retail
AFL,Aflac Incorporated,$43.59 B,Financials,Insurance—Life
KMI,"Kinder Morgan, Inc.",$43.38 B,Energy,Oil & Gas Midstream
KMB,Kimberly-Clark Corporation,$43.21 B,Consumer Staples,Household & Personal Products
RSG,"Republic Services, Inc.",$42.91 B,Industrials,Waste Management
MNST,Monster Beverage Corporation,$42.81 B,Consumer Staples,Beverages—Non-Alcoholic
CTVA,"Corteva, Inc.",$42.66 B,Basic Materials,Agricultural Inputs
GIS,"General Mills, Inc.",$42.65 B,Consumer Staples,Packaged Foods
HLT,Hilton Worldwide Holdings Inc.,$42.39 B,Consumer Discretionary,Lodging
SYY,Sysco Corporation,$42.22 B,Consumer Staples,Food Distribution
KR,The Kroger Co.,$42.03 B,Consumer Staples,Grocery Stores
DVN,Devon Energy Corporation,$41.82 B,Energy,Oil & Gas E&P
WMB,"The Williams Companies, Inc.",$41.60 B,Energy,Oil & Gas Midstream
ALL,The Allstate Corporation,$41.54 B,Financials,Insurance—Property & Casualty
VLO,Valero Energy Corporation,$41.27 B,Energy,Oil & Gas Refining & Marketing
MSI,"Motorola Solutions, Inc.",$40.87 B,Technology,Communication Equipment
BK,The Bank of New York Mellon Corporation,$40.83 B,Financials,Asset Management
CARR,Carrier Global Corporation,$40.79 B,Industrials,Building Products & Equipment
DLR,"Digital Realty Trust, Inc.",$40.64 B,Real Estate,REIT—Office
WBA,"Walgreens Boots Alliance, Inc.",$40.55 B,Healthcare,Pharmaceutical Retailers
A,"Agilent Technologies, Inc.",$40.49 B,Healthcare,Diagnostics & Research
GPN,Global Payments Inc.,$40.35 B,Industrials,Specialty Business Services
BAX,Baxter International Inc.,$40.13 B,Healthcare,Medical Instruments & Supplies
MSCI,MSCI Inc.,$39.97 B,Financials,Financial Data & Stock Exchanges
WELL,Welltower Inc.,$39.96 B,Real Estate,REIT—Healthcare Facilities
XEL,Xcel Energy Inc.,$39.76 B,Utilities,Utilities—Regulated Electric
DD,"DuPont de Nemours, Inc.",$39.72 B,Basic Materials,Chemicals
EBAY,eBay Inc.,$39.34 B,Consumer Discretionary,Internet Retail
BKR,Baker Hughes Company,$38.39 B,Energy,Oil & Gas Equipment & Services
