Ticker,Name,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
8349,恒耀,Industrials,Tools & Accessories,70.1,0.02,0.17,0.21,0.91,7.07,215.95,4.19,-17.29,84.455,16.71,85,56
5525,順天,Real Estate,Real Estate—Development,33.1,8.38,-10.04,-1.11,7.73,-3.33,212.02,3.07,225.33,21.813,10.78,85,97
3006,晶豪科,Technology,Semiconductors,70.7,5.19,0.86,0.46,3.44,5.29,209.8,-2.01,-15.41,46.707,,85,62
3176,基亞,Healthcare,Biotechnology,37.35,7.75,-0.23,-0.29,9.75,0.26,209.77,-3.11,52.99,9.996,,85,95
5011,久陽,Industrials,Tools & Accessories,24.25,6.67,-1.14,-8.0,11.14,-3.8,209.54,1.56,-8.21,43.377,15.22,85,74
6589,台康生技,Healthcare,Biotechnology,87.3,-1.12,0.04,0.04,-0.12,0.97,206.97,-2.75,26.2,3.71,,85,92
1558,伸興,Consumer Cyclical,"Furnishings, Fixtures & Appliances",113.5,0.45,-0.09,-0.08,0.47,7.87,203.61,5.71,-19.36,118.176,19.61,85,51
2527,宏璟,Real Estate,Real Estate Services,34.05,-0.33,-31.87,-0.97,-2.67,10.5,203.35,2.55,19.4,11.059,13.22,84,91
8240,華宏,Technology,Electronic Components,37.55,1.19,-0.33,-0.25,-0.33,8.0,201.02,2.09,-33.42,75.66,18.85,84,20
6216,居易,Technology,Communication Equipment,48.7,0.47,0.08,0.09,0.51,7.11,199.43,2.28,17.21,8.421,21.32,84,90
2062,橋椿,Industrials,Building Products & Equipment,39.65,0.47,0.01,0.01,1.14,4.65,196.86,3.04,-20.45,40.899,12.5,84,48
3164,景岳,Healthcare,Biotechnology,22.7,-1.35,0.18,0.21,4.67,3.0,191.3,0.82,-21.08,4.104,27.5,84,46
2357,華碩,Technology,Computer Hardware,577.0,1.17,-0.52,-0.34,3.57,4.24,191.18,43.28,-6.88,702.537,13.33,84,75
4958,臻鼎-KY,Technology,Electronic Components,113.5,-1.02,-0.67,-0.4,6.67,0.94,191.07,7.46,1.07,170.63,15.28,84,83
2115,六暉-KY,Consumer Cyclical,Auto Parts,31.7,0.63,0.54,1.17,9.83,-2.03,187.99,1.5,-1.99,28.148,21.1,84,81
3577,泓格,Technology,Communication Equipment,71.3,1.8,-1.17,-0.54,9.5,-2.8,187.91,1.24,-11.14,15.902,57.34,84,69
6768,志強-KY,Consumer Cyclical,Leisure,99.5,0.32,0.61,1.56,0.79,6.52,186.75,5.28,-6.13,81.236,18.67,84,77
6902,走著瞧-創,Technology,Software—Application,147.0,-2.09,-0.11,-0.1,-2.06,5.0,185.27,-0.22,-1.81,25.111,,84,81
4903,聯光通,Technology,Communication Equipment,48.65,4.12,-0.55,-1.21,4.95,-0.41,184.64,1.15,46.6,7.544,46.52,84,94
5276,達輝-KY,Consumer Cyclical,Auto Parts,18.3,5.0,-4.5,-0.82,5.08,2.0,184.19,-0.05,-27.25,18.58,,84,31
4562,穎漢,Industrials,Specialty Industrial Machinery,62.8,2.0,-2.6,-2.6,6.0,-1.57,180.24,-0.66,-23.01,8.247,,84,41
3450,聯鈞,Technology,Semiconductor Equipment & Materials,192.0,0.52,2.65,2.65,6.22,2.11,178.93,0.61,-6.18,40.055,345.08,84,77
1904,正隆,Basic Materials,Paper & Paper Products,24.25,-0.79,0.35,0.54,8.0,-0.24,178.6,0.93,-23.17,38.25,25.48,84,40
8476,台境,Industrials,Waste Management,54.3,3.02,-0.44,-0.31,-0.52,2.06,177.61,3.62,-9.29,18.722,15.33,84,72
9928,中視,Communication Services,Broadcasting,19.9,-3.8,15.0,15.0,2.6,2.93,177.37,0.4,-22.39,16.547,50.0,84,42
2061,風青,Industrials,Electrical Equipment & Parts,24.7,19.33,-3.5,-0.78,2.61,-3.0,177.27,0.32,10.51,21.533,75.63,83,89
